step,mean,median,p90,p99,max
4200,3.537717830681686e-05,3.569328509911429e-05,4.092054587090388e-05,5.055657875345782e-05,8.146692562149838e-05
4300,3.491469046780692e-05,3.5202325307182036e-05,4.073192030773498e-05,5.603326335403829e-05,8.410810551140457e-05
4400,3.542795145859502e-05,3.5620058042695746e-05,4.109063775104005e-05,5.4502802231581764e-05,9.270389273297042e-05
4500,3.513649578223976e-05,3.558290336513892e-05,4.0306464143213816e-05,5.043806741014119e-05,7.868521788623184e-05
4600,3.4874046070245057e-05,3.5394163205637597e-05,4.0177174014388584e-05,5.149962271389086e-05,8.327458635903895e-05
4700,3.610035598861876e-05,3.654245665529743e-05,4.184054341749288e-05,5.218023088673356e-05,8.06010139058344e-05
4800,3.593254958746327e-05,3.6271427234169096e-05,4.165500831732061e-05,5.23338638231507e-05,9.017007687361911e-05
4900,3.4766593269556066e-05,3.517750701576006e-05,4.0143046135199256e-05,5.0012771134788614e-05,8.05581221356988e-05
5000,3.497852747662884e-05,3.502817708067596e-05,4.030472882732283e-05,5.035737140133275e-05,9.30632304516621e-05
5100,3.565340632048576e-05,3.578641735657584e-05,4.106425694772042e-05,5.046699025115229e-05,8.185969636542723e-05
5200,3.455011577711632e-05,3.4845037589548156e-05,3.960603862651624e-05,5.206203477428058e-05,8.523896394763142e-05
